Number;fc'(MPa);Slump(mm);W/B(%);W(kg/m3);s/a(%);FA(%);AE(kg/m3);SP(kg/m3)
1;74;215;30;160;48;10;0.069;8.00
2;74;245;30;160;48;20;0.069;8.00
3;71;200;30;160;46;0;0.069;8.00
4;72;210;30;160;45;10;0.069;8.00
5;69;205;30;160;44;20;0.069;8.00
6;69;240;30;160;42;0;0.069;8.00
7;68;210;30;160;42;10;0.069;8.00
8;65;225;30;160;41;20;0.069;8.00
9;66;210;30;170;47;0;0.074;8.50
10;66;260;30;170;46;20;0.074;8.50
11;65;225;30;170;44;0;0.074;8.50
12;65;205;30;170;43;10;0.074;8.50
13;63;200;30;170;42;20;0.074;8.50
14;64;245;30;170;41;0;0.074;8.50
15;63;225;30;170;40;10;0.074;8.50
16;63;260;30;170;39;20;0.074;8.50
17;61;220;30;180;45;0;0.078;7.50
18;62;195;30;180;44;10;0.078;7.50
19;62;250;30;180;44;20;0.078;7.50
20;62;210;30;180;42;0;0.078;7.50
21;61;210;30;180;41;10;0.078;7.50
22;58;200;30;180;40;20;0.078;7.50
23;61;225;30;180;38;0;0.078;7.50
24;61;210;30;180;38;10;0.078;7.50
25;61;240;30;180;37;20;0.078;7.50
26;63;145;35;160;51;0;0.059;5.71
27;63;250;35;160;50;10;0.059;5.71
28;62;240;35;160;50;20;0.059;5.71
29;63;175;35;160;48;0;0.059;5.71
30;63;195;35;160;47;10;0.059;5.71
31;59;245;35;160;47;20;0.059;5.71
32;63;185;35;160;45;0;0.059;5.71
33;62;230;35;160;44;10;0.059;5.71
34;59;240;35;160;43;20;0.059;5.71
35;60;195;35;170;49;0;0.063;4.86
36;58;225;35;170;49;10;0.063;4.86
37;56;200;35;170;48;20;0.063;4.86
38;59;195;35;170;46;0;0.063;4.86
39;58;240;35;170;45;10;0.063;4.86
40;58;225;35;170;45;20;0.063;4.86
41;57;220;35;170;43;0;0.063;4.86
42;55;225;35;170;42;20;0.063;4.86
43;55;195;35;180;48;0;0.067;3.86
44;54;195;35;180;47;10;0.067;3.86
45;52;200;35;180;46;20;0.067;3.86
46;56;150;35;180;44;0;0.067;3.86
47;51;190;35;180;44;10;0.067;3.86
48;48;170;35;180;43;20;0.067;3.86
49;53;190;35;180;41;0;0.067;3.86
50;46;220;35;180;40;10;0.067;5.14
51;48;210;35;180;40;20;0.067;5.14
52;51;170;40;160;52;0;0.040;4.00
53;49;95;40;160;52;10;0.040;2.57
54;49;220;40;160;51;20;0.040;4.00
55;50;210;40;160;49;0;0.040;4.00
56;49;205;40;160;49;10;0.040;4.00
57;49;220;40;160;48;20;0.040;4.00
58;50;230;40;160;46;0;0.040;4.00
59;49;195;40;160;46;10;0.040;4.00
60;47;210;40;160;45;20;0.040;4.00
61;49;205;40;170;51;0;0.043;2.13
62;48;195;40;170;50;10;0.043;2.13
63;46;175;40;170;50;20;0.043;2.13
64;47;190;40;170;48;0;0.043;2.13
65;47;195;40;170;47;10;0.043;2.13
66;46;195;40;170;47;20;0.043;2.13
67;47;170;40;170;45;0;0.043;2.13
68;46;200;40;170;44;10;0.043;2.13
69;44;180;40;170;44;20;0.043;2.13
70;45;210;40;180;49;0;0.045;2.25
71;44;205;40;180;49;10;0.045;2.25
72;43;205;40;180;48;20;0.045;2.25
73;45;210;40;180;46;0;0.045;2.25
74;44;200;40;180;46;10;0.045;2.25
75;44;210;40;180;45;20;0.045;2.25
76;44;220;40;180;43;0;0.045;2.25
77;42;195;40;180;42;10;0.045;2.25
78;43;220;40;180;42;20;0.045;2.25
79;47;180;45;160;53;0;0.036;3.56
80;46;140;45;160;53;10;0.036;3.56
81;45;130;45;160;52;20;0.036;3.56
82;45;160;45;160;50;0;0.036;3.56
83;43;160;45;160;50;10;0.036;3.56
84;45;170;45;160;49;20;0.036;3.56
85;44;120;45;160;47;0;0.036;3.56
86;43;160;45;160;47;10;0.036;3.56
87;44;200;45;160;46;20;0.036;3.56
88;46;175;45;170;52;0;0.038;1.89
89;42;130;45;170;51;10;0.038;1.89
90;42;100;45;170;51;20;0.038;1.89
91;43;190;45;170;49;0;0.038;1.89
92;42;165;45;170;48;10;0.038;1.89
93;42;190;45;170;48;20;0.038;1.89
94;43;200;45;170;46;0;0.038;1.89
95;42;185;45;170;45;10;0.038;1.89
96;42;180;45;170;45;20;0.038;1.89
97;42;230;45;180;51;0;0.040;2.00
98;42;210;45;180;50;10;0.040;2.00
99;41;175;45;180;50;20;0.040;2.00
100;42;170;45;180;47;0;0.040;2.00
101;41;185;45;180;47;20;0.040;2.00
102;43;175;45;180;44;0;0.040;2.00
103;40;220;45;180;44;10;0.040;2.00
104;38;170;45;180;43;20;0.040;2.00
