S.number;FA (%);SF (%);TCM(kg/m3);ssa(kg/m3);ca(kg/m3);W(lt/m3);HRWRA(lt/m3);Age(days);fc (MPa)
1;0;0;500;724;1086;150;7.5;3;64.9
2;0;0;500;724;1086;150;7.5;7;75.5
3;0;0;500;724;1086;150;7.5;28;86.8
4;0;0;500;724;1086;150;7.5;56;87.2
5;0;0;500;724;1086;150;7.5;90;95.7
6;0;0;500;724;1086;150;7.5;180;97.7
7;15;0;500;700;1086;150;7.5;3;52.1
8;15;0;500;700;1086;150;7.5;7;66.4
9;15;0;500;700;1086;150;7.5;28;86
10;15;0;500;700;1086;150;7.5;56;94.8
11;15;0;500;700;1086;150;7.5;90;99.6
12;15;0;500;700;1086;150;7.5;180;106.3
13;25;0;500;683;1086;150;9.25;3;48
14;25;0;500;683;1086;150;9.25;7;65.7
15;25;0;500;683;1086;150;9.25;28;85.4
16;25;0;500;683;1086;150;9.25;56;90.4
17;25;0;500;683;1086;150;9.25;90;95.4
18;25;0;500;683;1086;150;9.25;180;107.8
19;45;0;500;650;1086;150;10.5;3;34.1
20;45;0;500;650;1086;150;10.5;7;49.2
21;45;0;500;650;1086;150;10.5;28;71.8
22;45;0;500;650;1086;150;10.5;56;85.4
23;45;0;500;650;1086;150;10.5;90;87.7
24;45;0;500;650;1086;150;10.5;180;97.7
25;55;0;500;634;1086;150;13;3;22.3
26;55;0;500;634;1086;150;13;7;36.4
27;55;0;500;634;1086;150;13;28;57.4
28;55;0;500;634;1086;150;13;56;66.6
29;55;0;500;634;1086;150;13;90;72.8
30;55;0;500;634;1086;150;13;180;79.9
31;0;5;500;719;1086;150;8;3;58.3
32;0;5;500;719;1086;150;8;7;75.5
33;0;5;500;719;1086;150;8;28;87.8
34;0;5;500;719;1086;150;8;56;93.1
35;0;5;500;719;1086;150;8;90;93.6
36;0;5;500;719;1086;150;8;180;99.3
37;20;5;500;686;1086;150;9.25;3;46.3
38;20;5;500;686;1086;150;9.25;7;65.6
39;20;5;500;686;1086;150;9.25;28;78.5
40;20;5;500;686;1086;150;9.25;56;85.8
41;20;5;500;686;1086;150;9.25;90;90.3
42;20;5;500;686;1086;150;9.25;180;95.9
43;40;5;500;654;1086;150;11;3;30.5
44;40;5;500;654;1086;150;11;7;48.6
45;40;5;500;654;1086;150;11;28;71.1
46;40;5;500;654;1086;150;11;56;80
47;40;5;500;654;1086;150;11;90;83.4
48;40;5;500;654;1086;150;11;180;88.3
49;0;0;400;710;1157;160;4;3;35
50;0;0;400;710;1157;160;4;7;48.4
51;0;0;400;710;1157;160;4;28;60.7
52;0;0;400;710;1157;160;4;56;67.1
53;0;0;400;710;1157;160;4;90;70.5
54;0;0;400;710;1157;160;4;180;70.6
55;15;0;400;690;1157;160;4.4;3;29.3
56;15;0;400;690;1157;160;4.4;7;39.9
57;15;0;400;690;1157;160;4.4;28;56
58;15;0;400;690;1157;160;4.4;56;63.4
59;15;0;400;690;1157;160;4.4;90;68.5
60;15;0;400;690;1157;160;4.4;180;72.1
61;25;0;400;660;1157;160;4.8;3;24.7
62;25;0;400;660;1157;160;4.8;7;33.7
63;25;0;400;660;1157;160;4.8;28;49.3
64;25;0;400;660;1157;160;4.8;56;60.8
65;25;0;400;660;1157;160;4.8;90;66.2
66;25;0;400;660;1157;160;4.8;180;70.2
67;45;0;400;634;1157;160;5.2;3;14.5
68;45;0;400;634;1157;160;5.2;7;20.3
69;45;0;400;634;1157;160;5.2;28;43.9
70;45;0;400;634;1157;160;5.2;56;54.1
71;45;0;400;634;1157;160;5.2;90;61.2
72;45;0;400;634;1157;160;5.2;180;63.7
73;55;0;400;621;1157;160;5.5;3;13.6
74;55;0;400;621;1157;160;5.5;7;19.8
75;55;0;400;621;1157;160;5.5;28;37.3
76;55;0;400;621;1157;160;5.5;56;47.1
77;55;0;400;621;1157;160;5.5;90;52.9
78;55;0;400;621;1157;160;5.5;180;63.2
79;0;5;400;688;1157;160;5.5;3;37.3
80;0;5;400;688;1157;160;5.5;7;53
81;0;5;400;688;1157;160;5.5;28;69.4
82;0;5;400;688;1157;160;5.5;56;72.1
83;0;5;400;688;1157;160;5.5;90;73.7
84;0;5;400;688;1157;160;5.5;180;74.5
85;20;5;400;662;1157;160;5.5;3;28.9
86;20;5;400;662;1157;160;5.5;7;42.1
87;20;5;400;662;1157;160;5.5;28;62.3
88;20;5;400;662;1157;160;5.5;56;69.9
89;20;5;400;662;1157;160;5.5;90;72.4
90;20;5;400;662;1157;160;5.5;180;76
91;40;5;400;636;1157;160;6;3;14.5
92;40;5;400;636;1157;160;6;7;20.5
93;40;5;400;636;1157;160;6;28;44.6
94;40;5;400;636;1157;160;6;56;55.3
95;40;5;400;636;1157;160;6;90;59.1
96;40;5;400;636;1157;160;6;180;68.4
97;0;0;410;609;1132;205;0;3;26.1
98;0;0;410;609;1132;205;0;7;36.9
99;0;0;410;609;1132;205;0;28;50.8
100;0;0;410;609;1132;205;0;56;57.1
101;0;0;410;609;1132;205;0;90;58.1
102;0;0;410;609;1132;205;0;180;60.6
103;15;0;410;589;1132;205;0;3;23.3
104;15;0;410;589;1132;205;0;7;32.3
105;15;0;410;589;1132;205;0;28;48.9
106;15;0;410;589;1132;205;0;56;55.7
107;15;0;410;589;1132;205;0;90;62.6
108;15;0;410;589;1132;205;0;180;64.8
109;25;0;410;576;1132;205;0;3;18.4
110;25;0;410;576;1132;205;0;7;26.2
111;25;0;410;576;1132;205;0;28;41.7
112;25;0;410;576;1132;205;0;56;49.1
113;25;0;410;576;1132;205;0;90;53.7
114;25;0;410;576;1132;205;0;180;57.9
115;45;0;410;549;1132;205;0;3;13.4
116;45;0;410;549;1132;205;0;7;18.4
117;45;0;410;549;1132;205;0;28;35.6
118;45;0;410;549;1132;205;0;56;47
119;45;0;410;549;1132;205;0;90;54.1
120;45;0;410;549;1132;205;0;180;56.6
121;55;0;410;536;1132;205;0;3;7.8
122;55;0;410;536;1132;205;0;7;11.3
123;55;0;410;536;1132;205;0;28;24
