No.;Water (kg/m3);Cement (kg/m3);Fine aggregate(kg/m3);Coarse aggregate (kg/m3);Superplasticizer (kg/m3);Compressive strength  (MPa)
1;160;533;805;845;1;73.6
2;160;533;805;845;1.5;73.6
3;160;533;805;845;2;73.6
4;160;480;786;845;1;73.1
5;160;480;786;845;1.5;73.1
6;160;480;786;845;2;73.1
7;160;427;767;845;1;72.7
8;160;427;767;845;1.5;72.7
9;160;427;767;845;2;72.7
10;160;533;753;898;1;69.4
11;160;533;753;898;1.5;69.4
12;160;533;753;898;2;69.4
13;160;480;734;898;1;70.5
14;160;480;734;898;1.5;70.5
15;160;480;734;898;2;70.5
16;160;427;715;898;1;68.1
17;160;427;715;898;1.5;68.1
18;160;427;715;898;2;68.1
19;160;533;701;950;1;67.8
20;160;533;701;950;1.5;67.8
21;160;533;701;950;2;67.8
22;160;480;682;950;1;67
23;160;480;682;950;1.5;67
24;160;480;682;950;2;67
25;160;427;663;950;1;64.1
26;160;427;663;950;1.5;64.1
27;160;427;663;950;2;64.1
28;170;567;751;845;1;64.6
29;170;567;751;845;1.5;64.6
30;170;567;751;845;2;64.6
31;170;510;731;845;1;64.4
32;170;510;731;845;1.5;64.4
33;170;510;731;845;2;64.4
34;170;453;711;845;1;64.7
35;170;453;711;845;1.5;64.7
36;170;453;711;845;2;64.7
37;170;567;700;898;1;63.9
38;170;567;700;898;1.5;63.9
39;170;567;700;898;2;63.9
40;170;510;679;898;1;63.4
41;170;510;679;898;1.5;63.4
42;170;510;679;898;2;63.4
43;170;453;659;898;1;62
44;170;453;659;898;1.5;62
45;170;453;659;898;2;62
46;170;567;648;950;1;62.4
47;170;567;648;950;1.5;62.4
48;170;567;648;950;2;62.4
49;170;510;628;950;1;61.7
50;170;510;628;950;1.5;61.7
51;170;510;628;950;2;61.7
52;170;453;608;950;1;61.9
53;170;453;608;950;1.5;61.9
54;170;453;608;950;2;61.9
55;180;600;698;845;0.75;59.5
56;180;600;698;845;1.25;59.5
57;180;600;698;845;1.75;59.5
58;180;540;677;845;0.75;61.1
59;180;540;677;845;1.25;61.1
60;180;540;677;845;1.75;61.1
61;180;480;655;845;0.75;60.8
62;180;480;655;845;1.25;60.8
63;180;480;655;845;1.75;60.8
64;180;600;646;898;0.75;60.5
65;180;600;646;898;1.25;60.5
66;180;600;646;898;1.75;60.5
67;180;540;625;898;0.75;59.9
68;180;540;625;898;1.25;59.9
69;180;540;625;898;1.75;59.9
70;180;480;604;898;0.75;57
71;180;480;604;898;1.25;57
72;180;480;604;898;1.75;57
73;180;600;594;950;0.75;59.7
74;180;600;594;950;1.25;59.7
75;180;600;594;950;1.75;59.7
76;180;540;573;950;0.75;60
77;180;540;573;950;1.25;60
78;180;540;573;950;1.75;60
79;180;480;552;950;0.75;59.6
80;180;480;552;950;1.25;59.6
81;180;480;552;950;1.75;59.6
82;160;457;867;845;0.75;62
83;160;457;867;845;1.25;62
84;160;457;867;845;1.75;62
85;160;411;851;845;0.75;62
86;160;411;851;845;1.25;62
87;160;411;851;845;1.75;62
88;160;366;835;845;0.75;60.6
89;160;366;835;845;1.25;60.6
90;160;366;835;845;1.75;60.6
91;160;457;816;898;0.75;62.1
92;160;457;816;898;1.25;62.1
93;160;457;816;898;1.75;62.1
94;160;411;799;898;0.75;61.5
95;160;411;799;898;1.25;61.5
96;160;411;799;898;1.75;61.5
97;160;366;783;898;0.75;57.8
98;160;366;783;898;1.25;57.8
99;160;366;783;898;1.75;57.8
100;160;457;764;950;0.75;61.5
101;160;457;764;950;1.25;61.5
102;160;457;764;950;1.75;61.5
103;160;411;747;950;0.75;60.8
104;160;411;747;950;1.25;60.8
105;160;411;747;950;1.75;60.8
106;160;366;731;950;0.75;57.6
107;160;366;731;950;1.25;57.6
108;160;366;731;950;1.75;57.6
109;170;486;818;845;0.5;58.8
110;170;486;818;845;1;58.8
111;170;486;818;845;1.5;58.8
112;170;437;801;845;0.5;56.8
113;170;437;801;845;1;56.8
114;170;437;801;845;1.5;56.8
115;170;389;783;845;0.5;55.3
116;170;389;783;845;1;55.3
117;170;389;783;845;1.5;55.3
118;170;486;766;898;0.5;57.8
119;170;486;766;898;1;57.8
120;170;486;766;898;1.5;57.8
121;170;437;749;898;0.5;56.6
122;170;437;749;898;1;56.6
123;170;437;749;898;1.5;56.6
124;170;389;732;898;0.5;56.9
125;170;389;732;898;1;56.9
126;170;389;732;898;1.5;56.9
127;170;486;714;950;0.5;56.1
128;170;486;714;950;1;56.1
129;170;486;714;950;1.5;56.1
130;170;437;697;950;0.5;55.9
131;170;437;697;950;1;55.9
132;170;437;697;950;1.5;55.9
133;170;389;680;950;0.5;54.3
134;170;389;680;950;1;54.3
135;170;389;680;950;1.5;54.3
136;180;514;769;845;0.25;54.2
137;180;514;769;845;0.75;54.2
138;180;514;769;845;1.25;54.2
139;180;463;750;845;0.25;52.7
140;180;463;750;845;0.75;52.7
141;180;463;750;845;1.25;52.7
142;180;411;732;845;0.25;51
143;180;411;732;845;0.75;51
144;180;411;732;845;1.25;51
145;180;514;717;898;0.25;54.6
146;180;514;717;898;0.75;54.6
147;180;514;717;898;1.25;54.6
148;180;463;698;898;0.25;50.3
149;180;463;698;898;0.75;50.3
150;180;463;698;898;1.25;50.3
151;180;411;680;898;0.25;47.3
152;180;411;680;898;0.75;47.3
153;180;411;680;898;1.25;47.3
154;180;514;665;950;0.25;52.1
155;180;514;665;950;0.75;52.1
